QSO                        RA        DEC       zem         Ref                 INSTR  SPEC_FILE
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  STIS  B0312-770__E140M_F.fits
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  STIS  B0312-770__E230M_F.fits
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  STIS  B0312-770__G750L_E.fits
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  STIS  B0312-770__E140M_E.fits
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  STIS  B0312-770__E230M_E.fits
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  STIS  B0312-770__E140M_c.fits
             B0312-770   47.98075  -76.86411  0.22300     1978ApJ...219L...1J  STIS  B0312-770__E230M_c.fits

           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123sic1b.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123lif2a.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123lif1a.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123sic2b.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123sic1a.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123lif2b.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123lif1b.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123sic2a.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123sic1b_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123lif2a_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123lif1a_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123sic2b_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123sic1a_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123lif2b_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123lif1b_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  FUSE  PKS0405-123sic2a_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  GHRS  PKS0405-123_GHRS_G160M_F.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  GHRS  PKS0405-123_GHRS_G160M_1538_F.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  GHRS  PKS0405-123_GHRS_G200M_F.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  GHRS  PKS0405-123_GHRS_G200M_1701_F.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  GHRS  PKS0405-123_GHRS_G200M_1836_F.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  GHRS  PKS0405-123_GHRS_G160M_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  GHRS  PKS0405-123_GHRS_G160M_1538_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  GHRS  PKS0405-123_GHRS_G200M_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  GHRS  PKS0405-123_GHRS_G200M_1701_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  GHRS  PKS0405-123_GHRS_G200M_1836_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  STIS  PKS0405-123_G230M.fits
